#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_000632395.1	PRJNA243408	SAMN02716203	na	na	1421338	61645	Enterobacter asburiae L1	strain=L1	na	latest	Complete Genome	Major	Full	2014-04-15	ASM63239v1	University of Malaya	GCF_000632395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/632/395/GCA_000632395.1_ASM63239v1	na	na	na	haploid	bacteria	4561905	4561905	56.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2014-04-08	4278	4143	110	na
GCA_001022095.1	PRJNA246471	SAMN03733641	na	na	61645	61645	Enterobacter asburiae	strain=CAV1043	na	latest	Complete Genome	Major	Full	2015-06-09	ASM102209v1	University of Oxford	GCF_001022095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/022/095/GCA_001022095.1_ASM102209v1	na	na	na	haploid	bacteria	5031452	5031452	55.500000	7	7	7	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2015-06-03	4880	4656	111	na
GCA_001521715.1	PRJNA285282	SAMN03742638	na	na	61645	61645	Enterobacter asburiae	strain=ATCC 35953	na	latest	Complete Genome	Major	Full	2016-01-21	ASM152171v1	Chengdu Military General Hospital	GCF_001521715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/521/715/GCA_001521715.1_ASM152171v1	na	assembly from type material	na	haploid	bacteria	4806219	4806219	55.500000	5	5	5	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2015-06-19	4730	4426	110	na
GCA_001617645.1	PRJNA314550	SAMN04538166	na	na	61645	61645	Enterobacter asburiae	strain=ENIPBJ-CG1	na	latest	Complete Genome	Major	Full	2016-04-08	ASM161764v1	Institute of Pathogen Biology,Chinese Academy Medical Sciences & Peking Union Medical College	GCF_001617645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/617/645/GCA_001617645.1_ASM161764v1	annotation fails completeness check; many frameshifted proteins	na	na	haploid	bacteria	4648696	4648696	56.000000	1	1	1	Institute of Pathogen Biology,Chinese Academy Medical Sciences & Peking Union Medical College	Annotation submitted by Institute of Pathogen Biology,Chinese Academy Medical Sciences & Peking Union Medical College	2016-06-21	4834	4725	109	27284137
GCA_003940765.1	PRJNA508388	SAMN10521483	na	na	61645	61645	Enterobacter asburiae	strain=CAV1043	na	latest	Complete Genome	Major	Full	2018-12-12	ASM394076v1	324 Brook ST.	GCF_003940765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/940/765/GCA_003940765.1_ASM394076v1	na	na	na	haploid	bacteria	5046183	5046183	55.500000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2018-12-06	5006	4725	122	na
GCA_007035645.1	PRJDB8163	SAMD00166948	na	na	61645	61645	Enterobacter asburiae	strain=1808-013	na	latest	Complete Genome	Major	Full	2019-05-14	ASM703564v1	Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases	GCF_007035645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/035/645/GCA_007035645.1_ASM703564v1	na	na	na	haploid	bacteria	4770723	4770723	56.000000	2	2	2	Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases	Annotation submitted by Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases	2019-05-30	4512	4416	96	na
GCA_007035805.1	PRJDB8163	SAMD00166968	na	reference genome	61645	61645	Enterobacter asburiae	strain=17Nkhm-UP2	na	latest	Complete Genome	Major	Full	2019-05-14	ASM703580v1	Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases	GCF_007035805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/035/805/GCA_007035805.1_ASM703580v1	na	na	na	haploid	bacteria	4768325	4768325	56.000000	2	2	2	Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases	Annotation submitted by Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases	2019-05-14	4523	4415	108	na
GCA_008364575.2	PRJNA559804	SAMN12560199	na	na	61645	61645	Enterobacter asburiae	strain=E2	na	latest	Complete Genome	Major	Full	2024-06-04	ASM836457v2	Microbiology and Biotechnology, Max Rubner-Institut	GCF_008364575.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/364/575/GCA_008364575.2_ASM836457v2	na	na	na	haploid	bacteria	4554873	4554873	56.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-05-31	4350	4183	113	na
GCA_009755685.1	PRJNA594005	SAMN13499302	na	na	61645	61645	Enterobacter asburiae	strain=AEB30	na	latest	Complete Genome	Major	Full	2019-12-16	ASM975568v1	United States Department of Agriculture, Agricultural Research Service	GCF_009755685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/755/685/GCA_009755685.1_ASM975568v1	unverified source organism	na	na	haploid	bacteria	4748641	4748641	56.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-12-10	4522	4363	114	na
GCA_009811955.2	PRJNA558971	SAMN12505037	na	na	61645	61645	Enterobacter asburiae	strain=SM1	na	latest	Complete Genome	Major	Full	2025-04-10	SM1_v3	Genomics, Millennium Nucleus in the Biology of the Intestinal Microbiota	GCF_009811955.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/811/955/GCA_009811955.2_SM1_v3	na	na	na	haploid	bacteria	4870997	4870997	56.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-10-17	4565	4404	116	na
