#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_000016325.1	PRJNA17461	SAMN02598394	na	na	399742	399742	Enterobacter sp. 638	strain=638	na	latest	Complete Genome	Major	Full	2007-04-18	ASM1632v1	US DOE Joint Genome Institute	GCF_000016325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/325/GCA_000016325.1_ASM1632v1	na	na	na	haploid	bacteria	4676461	4676461	53.000000	2	2	2	US DOE Joint Genome Institute	Annotation submitted by US DOE Joint Genome Institute	2019-09-10	4385	4240	107	na
GCA_000330845.1	PRJNA200605	SAMN02744036	na	na	693444	693444	Enterobacteriaceae bacterium strain FGI 57	strain=FGI 57	na	latest	Complete Genome	Major	Full	2013-01-03	ASM33084v1	UW-Madison	GCF_000330845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/330/845/GCA_000330845.1_ASM33084v1	genus undefined	na	na	haploid	bacteria	4762179	4762179	54.000000	1	1	1	UW-Madison	Annotation submitted by UW-Madison	2014-05-14	4536	4323	148	23469353
GCA_000410515.1	PRJNA189171	SAMN02603907	na	na	1166130	1166130	Enterobacter sp. R4-368	strain=R4-368	na	latest	Complete Genome	Major	Full	2013-06-11	ASM41051v1	Temasek Lifesciences Laboratory	GCF_000410515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/410/515/GCA_000410515.1_ASM41051v1	na	na	na	haploid	bacteria	5155034	5155034	54.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2013-05-30	4948	4827	114	23908287
GCA_000801755.2	PRJNA263377	SAMN03099801	na	na	1560339	1560339	Enterobacter sp. E20	strain=E20	na	latest	Complete Genome	Major	Full	2015-10-26	ASM80175v2	Chinese Academy of Agricultural Sciences	GCF_000801755.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/801/755/GCA_000801755.2_ASM80175v2	na	na	na	haploid	bacteria	4763114	4763114	55.500000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2015-10-21	4455	4289	109	na
GCA_001582075.1	PRJNA291313	SAMN03941339	na	na	1692238	1692238	Enterobacter sp. FY-07	strain=FY-07	na	latest	Complete Genome	Major	Full	2016-03-08	ASM158207v1	Nankai University	GCF_001582075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/582/075/GCA_001582075.1_ASM158207v1	unverified source organism	na	na	haploid	bacteria	5138701	5138701	53.500000	4	4	4	Nankai University	Annotation submitted by Nankai University	2017-03-22	5052	4940	104	26911736
GCA_001623605.1	PRJNA317796	SAMN04624399	na	na	1827481	1827481	Enterobacter sp. ODB01	strain=ODB01	na	latest	Complete Genome	Major	Full	2016-04-19	ASM162360v1	Hunan Agricultural University	GCF_001623605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/623/605/GCA_001623605.1_ASM162360v1	na	na	na	haploid	bacteria	4534036	4534036	55.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2016-04-12	4299	4117	121	na
GCA_001719105.1	PRJNA326573	SAMN05285327	na	na	1868135	1868135	Enterobacter sp. HK169	strain=HK169	na	latest	Complete Genome	Major	Full	2016-09-06	ASM171910v1	Korea Research Institute of Chemical Technology	GCF_001719105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/719/105/GCA_001719105.1_ASM171910v1	na	na	na	haploid	bacteria	4551186	4551186	56.000000	1	1	1	Korea Research Institute of Chemical Technology	Annotation submitted by Korea Research Institute of Chemical Technology	2016-09-06	4265	4155	110	na
GCA_001888805.2	PRJNA352128	SAMN05967246	na	na	1914861	1914861	Enterobacter sp. SA187	strain=SA187	na	latest	Complete Genome	Major	Full	2018-03-05	ASM188880v2	King Abdullah University of Science and Technology (KAUST)	GCF_001888805.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/805/GCA_001888805.2_ASM188880v2	na	na	na	haploid	bacteria	4429597	4429597	56.000000	1	1	1	na	na		0	0	0	na
GCA_002787395.1	PRJNA416193	SAMN07944244	na	na	2051905	2051905	Enterobacter sp. CRENT-193	strain=CRENT-193	na	latest	Complete Genome	Major	Full	2017-11-20	ASM278739v1	Yonsei University College of medicine	GCF_002787395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/787/395/GCA_002787395.1_ASM278739v1	na	na	na	haploid	bacteria	5196641	5196641	54.500000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2017-11-13	5216	4928	118	na
GCA_002863825.3	PRJNA381809	SAMN06689580	na	na	1977566	1977566	Enterobacter sp. Crenshaw	strain=Crenshaw	na	latest	Complete Genome	Major	Full	2022-08-08	ASM286382v3	University of Florida	GCF_002863825.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/863/825/GCA_002863825.3_ASM286382v3	na	na	na	haploid	bacteria	4632139	4632139	56.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-08-05	4414	4271	117	na
