#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_048570975.1	PRJNA1104184	SAMN41071399	na	na	363569	28901	Salmonella enterica subsp. enterica serovar Javiana	strain=2014AM-0749	na	latest	Complete Genome	Major	Full	2025-03-14	ASM4857097v1	Meat Safety and Quality Research Unit, United State Department of Agriculture	GCF_048570975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/048/570/975/GCA_048570975.1_ASM4857097v1	na	na	na	haploid	bacteria	4717956	4717956	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-05-06	4633	4372	120	na
GCA_018338275.1	PRJNA186035	SAMN03700983	na	na	363569	28901	Salmonella enterica subsp. enterica serovar Javiana	strain=CFSAN001070	na	latest	Complete Genome	Major	Full	2021-05-11	ASM1833827v1	Center for Food Safety and Applied Nutrition	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/338/275/GCA_018338275.1_ASM1833827v1	from large multi-isolate project	na	na	haploid	bacteria	4567788	4567788	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-05-03	4420	4197	117	na
GCA_000341425.1	PRJNA183458	SAMN01832085	na	na	1267753	28901	Salmonella enterica subsp. enterica serovar Javiana str. CFSAN001992	strain=CFSAN001992	na	latest	Complete Genome	Major	Full	2013-02-20	ASM34142v1	FDA	GCF_000341425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/425/GCA_000341425.1_ASM34142v1	na	na	na	haploid	bacteria	4675267	4675267	52.000000	3	3	3	FDA	Annotation submitted by FDA	2015-02-11	4512	4407	105	23516208
GCA_007333575.2	PRJNA186035	SAMN10251118	na	na	363569	28901	Salmonella enterica subsp. enterica serovar Javiana	strain=FDA1048408-C002-006	na	latest	Complete Genome	Major	Full	2021-11-09	ASM733357v2	Center for Food Safety and Applied Nutrition	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/333/575/GCA_007333575.2_ASM733357v2	from large multi-isolate project	na	na	haploid	bacteria	4677077	4677077	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-10-14	4563	4307	119	na
GCA_018339635.1	PRJNA186035	SAMN02335407	na	na	363569	28901	Salmonella enterica subsp. enterica serovar Javiana	strain=CFSAN006269	na	latest	Complete Genome	Major	Full	2021-05-11	ASM1833963v1	Center for Food Safety and Applied Nutrition	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/339/635/GCA_018339635.1_ASM1833963v1	from large multi-isolate project	na	na	haploid	bacteria	4779845	4779845	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-05-03	4679	4437	118	na
GCA_018338395.1	PRJNA186035	SAMN01938999	na	na	1299231	28901	Salmonella enterica subsp. enterica serovar Javiana str. CFSAN000905	strain=CFSAN000905	na	latest	Complete Genome	Major	Full	2021-05-11	ASM1833839v1	Center for Food Safety and Applied Nutrition	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/338/395/GCA_018338395.1_ASM1833839v1	from large multi-isolate project	na	na	haploid	bacteria	4620271	4620271	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-05-03	4469	4255	116	na
GCA_018339655.1	PRJNA186035	SAMN02335376	na	na	363569	28901	Salmonella enterica subsp. enterica serovar Javiana	strain=CFSAN006238	na	latest	Complete Genome	Major	Full	2021-05-11	ASM1833965v1	Center for Food Safety and Applied Nutrition	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/339/655/GCA_018339655.1_ASM1833965v1	from large multi-isolate project	na	na	haploid	bacteria	4854285	4854285	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-05-03	4787	4536	118	na
GCA_010390315.2	PRJNA230403	SAMN03288302	na	na	363569	28901	Salmonella enterica subsp. enterica serovar Javiana	strain=2015K-0015	na	latest	Complete Genome	Major	Full	2025-03-14	ASM1039031v2	Meat Safety and Quality Research Unit, United State Department of Agriculture	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/390/315/GCA_010390315.2_ASM1039031v2	from large multi-isolate project	na	na	haploid	bacteria	4646122	4646122	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-10-21	4538	4266	120	na
GCA_018340055.1	PRJNA186035	SAMN01832085	na	na	1267753	28901	Salmonella enterica subsp. enterica serovar Javiana str. CFSAN001992	strain=CFSAN001992	na	latest	Complete Genome	Major	Full	2021-05-11	ASM1834005v1	Center for Food Safety and Applied Nutrition	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/340/055/GCA_018340055.1_ASM1834005v1	from large multi-isolate project	na	na	haploid	bacteria	4741302	4741302	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-05-03	4600	4341	123	na
GCA_006740725.1	PRJNA528985	SAMN11252889	na	na	363569	28901	Salmonella enterica subsp. enterica serovar Javiana	strain=FARPER-220	na	latest	Complete Genome	Major	Full	2019-07-08	ASM674072v1	FARVET S.A.C.	GCF_006740725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/740/725/GCA_006740725.1_ASM674072v1	annotation fails completeness check; many frameshifted proteins	na	na	haploid	bacteria	4651105	4651105	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-03-26	4649	4205	120	37943036
